id,tag,name,parent_id,stem,extension,path,size,owner,group,created,accessed,modified
9773891,Directory,app,9773890,app,,/Users/starver/code/public/cpython/Mac/Resources/app,160,501,20,1545241637,1545524452,1545241637
9773894,Directory,Resources,9773891,Resources,,/Users/starver/code/public/cpython/Mac/Resources/app/Resources,128,501,20,1545241637,1545524452,1545241637
9773897,Directory,framework,9773890,framework,,/Users/starver/code/public/cpython/Mac/Resources/framework,96,501,20,1545241637,1545524452,1545241637
9773899,Directory,iconsrc,9773890,iconsrc,,/Users/starver/code/public/cpython/Mac/Resources/iconsrc,288,501,20,1545241637,1545524452,1545241637
9773851,Directory,Icons,9773821,Icons,,/Users/starver/code/public/cpython/Mac/Icons,288,501,20,1545241637,1545524452,1545241637
9773822,Directory,BuildScript,9773821,BuildScript,,/Users/starver/code/public/cpython/Mac/BuildScript,224,501,20,1545241637,1545524452,1545241637
9773825,Directory,resources,9773822,resources,,/Users/starver/code/public/cpython/Mac/BuildScript/resources,256,501,20,1545241637,1545524452,1545241637
9773832,Directory,scripts,9773822,scripts,,/Users/starver/code/public/cpython/Mac/BuildScript/scripts,192,501,20,1545241637,1545524452,1545241637
9775535,Directory,Programs,9768633,Programs,,/Users/starver/code/public/cpython/Programs,192,501,20,1545241637,1545524452,1545241637
9775403,Directory,PCbuild,9768633,PCbuild,,/Users/starver/code/public/cpython/PCbuild,3520,501,20,1545241637,1545524452,1545241637
9770916,Directory,.github,9768633,.github,,/Users/starver/code/public/cpython/.github,224,501,20,1545241636,1545524452,1545241636
9771638,Directory,Lib,9768633,Lib,,/Users/starver/code/public/cpython/Lib,6528,501,20,1545241637,1545524452,1545241637
9771950,Directory,encodings,9771638,encodings,,/Users/starver/code/public/cpython/Lib/encodings,4064,501,20,1545241636,1545524452,1545241636
9771806,Directory,distutils,9771638,distutils,,/Users/starver/code/public/cpython/Lib/distutils,1056,501,20,1545241636,1545524452,1545241636
9771865,Directory,tests,9771806,tests,,/Users/starver/code/public/cpython/Lib/distutils/tests,1504,501,20,1545241636,1545524452,1545241636
9771814,Directory,command,9771806,command,,/Users/starver/code/public/cpython/Lib/distutils/command,1120,501,20,1545241636,1545524452,1545241636
9771722,Directory,ctypes,9771638,ctypes,,/Users/starver/code/public/cpython/Lib/ctypes,288,501,20,1545241636,1545524452,1545241636
9771734,Directory,test,9771722,test,,/Users/starver/code/public/cpython/Lib/ctypes/test,1760,501,20,1545241636,1545524452,1545241636
9771726,Directory,macholib,9771722,macholib,,/Users/starver/code/public/cpython/Lib/ctypes/macholib,288,501,20,1545241636,1545524452,1545241636
9773711,Directory,unittest,9771638,unittest,,/Users/starver/code/public/cpython/Lib/unittest,448,501,20,1545241637,1545524452,1545241637
9773722,Directory,test,9773711,test,,/Users/starver/code/public/cpython/Lib/unittest/test,640,501,20,1545241637,1545524452,1545241637
9773740,Directory,testmock,9773722,testmock,,/Users/starver/code/public/cpython/Lib/unittest/test/testmock,416,501,20,1545241637,1545524452,1545241637
9771790,Directory,curses,9771638,curses,,/Users/starver/code/public/cpython/Lib/curses,224,501,20,1545241636,1545524452,1545241636
9772520,Directory,test,9771638,test,,/Users/starver/code/public/cpython/Lib/test,18304,501,20,1545241637,1545524452,1545241637
9772791,Directory,eintrdata,9772520,eintrdata,,/Users/starver/code/public/cpython/Lib/test/eintrdata,96,501,20,1545241636,1545524452,1545241636
9772610,Directory,crashers,9772520,crashers,,/Users/starver/code/public/cpython/Lib/test/crashers,320,501,20,1545241636,1545524452,1545241636
9773355,Directory,test_json,9772520,test_json,,/Users/starver/code/public/cpython/Lib/test/test_json,672,501,20,1545241637,1545524452,1545241637
9773536,Directory,test_tools,9772520,test_tools,,/Users/starver/code/public/cpython/Lib/test/test_tools,416,501,20,1545241637,1545524452,1545241637
